source_dataset,fold,split_type,task_id,impl_index,char_lev_raw,char_lev_norm,token_lev_raw,token_lev_norm,ast_changed_nodes,ast_norm_ratio,codebert_cosine,unixcoder_cosine
phase2/s1_baseline,0,validate,BigCodeBench/84,1,42,0.031413612565445,18,0.0714285714285714,3,0.0053859964093357,0.9988146424293518,0.9907070398330688
phase2/s1_baseline,0,validate,BigCodeBench/86,1,23,0.0705521472392638,7,0.0777777777777777,2,0.0112359550561797,0.9977890849113464,0.9743133187294006
phase2/s1_baseline,0,validate,BigCodeBench/91,1,17,0.0351966873706004,4,0.0350877192982456,2,0.0072463768115942,0.9979315996170044,0.9947683215141296
phase2/s1_baseline,0,validate,BigCodeBench/97,1,12,0.0392156862745098,1,0.0172413793103448,3,0.0212765957446808,0.9986990690231324,0.9833329319953918
phase2/s1_baseline,0,validate,BigCodeBench/106,1,12,0.0182926829268292,5,0.0326797385620915,2,0.0056818181818181,0.9992797374725342,0.9780755043029784
phase2/s1_baseline,0,validate,BigCodeBench/108,1,140,0.1262398557258791,3,0.0178571428571428,2,0.0055865921787709,0.9979496002197266,0.9837183952331544
phase2/s1_baseline,0,validate,BigCodeBench/109,1,16,0.026890756302521,3,0.0241935483870967,2,0.0078125,0.9981383085250854,0.9934053421020508
phase2/s1_baseline,0,validate,BigCodeBench/124,1,14,0.0218408736349454,6,0.0434782608695652,2,0.0062893081761006,0.9986122250556946,0.973127007484436
phase2/s1_baseline,0,validate,BigCodeBench/129,1,198,0.1633663366336633,10,0.0518134715025906,3,0.0075566750629722,0.9949162602424622,0.9731380939483644
phase2/s1_baseline,0,validate,BigCodeBench/130,1,51,0.2107438016528925,15,0.2678571428571428,16,0.135593220338983,0.9959354400634766,0.9674183130264282
phase2/s1_baseline,0,validate,BigCodeBench/132,1,13,0.0223752151462994,4,0.0338983050847457,3,0.0114068441064638,0.9988718032836914,0.99008309841156
phase2/s1_baseline,0,validate,BigCodeBench/142,1,26,0.0614657210401891,3,0.024390243902439,3,0.0106007067137809,0.997532606124878,0.9861834049224854
phase2/s1_baseline,0,validate,BigCodeBench/150,1,167,0.2103274559193954,5,0.0352112676056338,2,0.0063291139240506,0.9974918365478516,0.984939992427826
phase2/s1_baseline,0,validate,BigCodeBench/156,1,12,0.0383386581469648,3,0.036144578313253,3,0.0167597765363128,0.998211145401001,0.9828423857688904
